ITEM: TIMESTEP
0
ITEM: ATOMS
27204 397
15600 11775
19637 31671
25684 26737
4235 28923
16773 24624
28485 11907
27684 529
5382 25193
28002 5629
13594 32026
14452 9357
1142 16771
31321 14850
25292 17003
10967 12719
25694 23213
16897 29203
5274 25424
20773 29094
10211 19188
14705 13728
3744 2156
12950 11168
7438 15682
18341 15424
32001 8571
33206 27843
983 1305
3384 28135
29757 10023
1666 11325
32780 19988
22184 10929
12331 11647
25306 25144
27176 29387
20966 31942
19936 7663
8109 2026
1035 18861
1874 22182
28886 8524
14671 286
27992 14693
3394 18140
32518 2199
3221 26078
30994 32567
2331 6461
32141 3207
32406 14042
33613 26769
24246 27671
27898 65
31596 19696
9651 4461
8844 8020
5214 33921
29121 30580
33756 27547
30714 29974
22474 16448
14146 15958
30980 13273
2093 33386
32468 27357
15071 8081
14152 27260
28327 15767
2306 5990
30952 5591
32360 31574
13016 7214
6876 15726
20657 7367
25190 5392
21252 20185
11005 12118
31342 25561
6806 21518
21843 13533
25475 18022
2807 6079
7628 33696
30316 20746
10170 15762
23861 26756
9024 22188
21112 9415
33685 18919
14690 28925
4844 17767
23733 23496
26693 9852
1709 6924
13644 32971
9120 874
13422 15444
17891 22681
32380 17776
11705 3619
21001 12632
31206 2217
4029 12789
10530 20340
7468 11871
26890 746
18049 13252
30752 3944
28483 23064
29266 1922
5626 6611
20424 19572
27803 33852
5639 24916
18126 20848
23346 14263
10209 18014
28897 236
13365 23698
5018 15049
14054 5228
5067 6816
3912 11404
16665 4477
20557 1613
18786 18351
20772 15067
21887 4480
2091 22370
2422 17011
8821 31460
20892 16809
9110 19239
3224 31088
23323 4009
13794 4585
30950 32128
16058 18084
20567 32739
8853 20474
7991 28222
2225 18935
32558 26358
5834 26258
9940 32890
16982 3066
7749 24929
17450 17295
189 614
33712 22041
14162 24157
30064 20025
30913 6769
29531 11195
31201 28443
6054 1732
3412 12513
32611 17070
27500 20921
18220 22573
26394 600
32313 25389
15953 3899
30353 10906
26825 27009
3964 11516
10944 11123
29431 5885
3099 27121
4209 30888
30346 19083
3602 24031
1273 2120
32492 27273
25970 16870
6665 7350
20544 13119
12148 27392
18895 20805
24900 3137
26991 32842
5762 1195
25560 7870
23115 23768
16087 1877
7969 26318
17654 4676
25149 31854
2649 20376
21247 1530
3733 18884
31014 24097
27451 17701
23882 29688
10690 21219
30806 25126
16483 22438
6340 22268
12862 13538
32497 1487
27561 32609
19631 11027
873 11180
9513 13046
26953 11542
24033 4471
9415 29220
7782 9857
12558 26221
20113 24152
1038 4970
7518 18910
2104 10249
14567 14914
18005 8804
17388 11126
2807 13561
6751 19323
25959 24582
29324 10635
28988 30724
5814 28451
12701 31996
11485 23963
21374 25642
29307 20835
11031 7677
14557 3564
29811 17735
16175 28977
27763 27880
21520 224
18786 20193
5349 13704
23204 8103
33961 8816
30807 22167
25970 24034
21052 24896
3263 28578
9999 7681
4157 2607
31889 21472
3465 33605
21623 33412
18720 33885
27755 12272
23650 22498
15872 12301
5620 20592
29684 1362
2405 20458
13262 12227
345 12392
5254 19075
33217 9228
4564 28775
16123 12879
31392 7672
11717 877
14441 19908
6189 10698
721 32354
6804 23679
15749 30465
23362 32389
14075 1708
33443 29005
12708 31307
28462 23929
5744 32745
16614 7339
14113 25822
15769 14600
24776 33800
3509 30456
27276 10539
4267 22812
697 27874
18924 30412
16836 17664
25617 26205
14845 4696
4967 10604
1757 13541
22182 17290
13759 5175
7234 1603
15563 20603
16474 5020
33437 31157
5006 20281
24388 14893
25374 19736
7415 32979
5054 397
20482 31296
8965 30555
2110 1786
30741 29340
4126 17668
16693 18349
19013 9904
5993 26649
21990 7842
29107 7393
10691 11682
22451 17860
26951 4285
32010 27521
11439 32297
9980 7590
1154 3635
14276 22483
23922 1655
24961 28576
32587 3883
10366 19960
6808 4265
9872 24753
28645 18295
25848 12905
14638 2772
7096 12703
18743 26465
4099 24026
16917 4713
10908 11466
3737 9406
31280 8201
7757 22498
24768 30814
12903 32960
6823 19902
4954 10453
22490 21231
32652 5613
493 8602
8547 33390
30754 21820
15544 21595
33356 30378
21437 11254
9858 24286
8842 22518
430 21906
26547 26176
69 120
17446 31445
17746 18995
2945 1512
4971 9446
27840 1514
9205 23079
228 8132
7348 8608
30559 896
12122 13602
20555 33269
22576 31957
32746 20477
930 31057
20968 17236
27557 29442
32221 3487
20260 10844
27072 20391
25528 3739
19493 30849
15990 1332
8342 20827
4146 2446
18367 13396
29681 25223
23427 25641
6476 2772
10045 24568
20992 27241
14753 24963
25090 6721
23920 27442
20705 9851
954 4373
4740 15617
4590 32629
15426 17158
7933 7494
21808 13083
26429 4396
31764 24686
5817 10662
6249 23279
21654 6651
30508 8336
368 32991
24866 28585
7202 3938
380 12982
4613 2006
19 13165
25728 22476
27662 28927
13949 28601
8483 23979
4413 30858
18473 6265
20321 18001
43 12026
10569 4186
15465 11177
26426 14319
2361 10270
13656 595
20987 3919
3300 32463
26953 3587
5358 22552
1725 16101
3403 21161
33293 33137
24609 8290
4802 15278
24336 27197
31319 31848
2395 18712
3724 5657
18404 6692
25353 29347
31109 22441
12624 32492
23578 27268
26539 20391
3821 28926
33093 28523
9049 20234
8821 17602
288 4314
20164 30832
31112 2975
32080 14622
32336 1723
3369 33682
14736 20932
17080 25565
20142 4520
3600 30032
21997 1176
29996 764
400 33122
23224 19157
13117 10623
29212 3794
19596 5829
20755 8947
7966 6602
13562 6911
4011 16822
10995 15673
14931 24099
4409 6607
32358 18180
18094 30351
31936 9535
32065 406
20060 8040
32411 1735
7497 33868
29400 17396
11066 8647
20098 31147
9350 1714
16761 17840
22032 28444
112 5459
19762 17940
9553 17502
25874 13568
12224 25118
31527 29261
3996 30683
1908 16532
11186 12069
29042 3541
16300 27437
25597 8947
1959 30365
28597 22428
8178 23045
756 31811
13474 25875
13359 1963
9154 3950
7254 9682
22424 623
2453 23719
12915 10397
8749 31178
6336 980
26381 23487
13948 8384
281 20383
32132 908
30765 6971
29768 12849
13739 17565
2590 11837
6448 23069
17042 8114
1141 33804
7179 22472
20880 24033
281 9777
22603 8126
28059 20198
2316 25662
17789 10675
12820 2653
11086 23739
10164 13364
8799 27449
31480 21743
28455 24693
7239 7341
26692 576
1283 27907
26957 25660
4443 15710
1667 21434
18368 31891
21381 25633
12565 32212
7490 4200
2607 15602
14184 8528
20380 12394
30044 11633
25408 18685
403 15344
9354 3695
18077 24985
12069 5260
11361 30703
11946 25474
21043 9293
2051 19055
28947 26440
22427 33976
27263 2691
31121 11858
30632 9118
24522 161
466 2028
23910 16443
24292 3824
4347 30040
4336 22996
27806 7657
29 2677
4305 13873
10975 8734
31238 32324
11016 20991
12625 2043
33416 24009
9435 6161
26720 31545
5139 8622
15173 12591
14959 5245
2111 21771
7136 11051
21537 16003
23939 32143
29091 15010
2436 21857
2618 23648
25086 32200
2474 17226
6957 21155
12946 15214
32580 9587
25317 32294
10585 17124
8345 23806
23614 29879
15512 10051
17804 3053
16740 19531
22936 29890
15384 7019
17911 15603
2553 33528
27502 20301
9755 9437
28401 7572
10880 2710
1373 9180
28603 30743
14018 872
13075 5997
22344 28301
9923 32926
11474 29457
25134 28655
6704 25270
19519 16658
20798 14733
4031 30410
7594 9000
21024 381
467 4545
5494 3172
1805 29984
25046 8450
29537 10861
17238 16479
25408 27106
14019 14560
29512 24124
25842 8068
14864 11198
26574 11613
20269 30882
13632 24793
20967 32605
9437 14285
24982 254
27689 27677
30246 7683
9625 730
17065 26855
30390 15176
30763 11340
14941 11227
7025 25761
33972 6014
32123 7392
7303 25599
7801 31431
22336 18474
169 14256
24837 4480
2302 16415
31292 27188
14444 16104
537 13667
24624 2187
13176 27005
15085 14237
4981 15524
13217 19412
21576 21088
27046 17118
27199 14764
22324 767
1652 33649
28211 5189
6542 4172
1966 15705
12115 8431
6468 29205
2074 12129
2633 30780
32462 16738
13849 8587
12975 9568
18524 14282
11907 2095
22516 20510
19482 33544
25139 31758
18751 2337
17018 26080
15370 2293
5180 32080
8882 28175
5666 17692
31056 152
6311 16815
2398 28395
12403 27208
21855 26194
21765 30534
7640 13359
26762 21666
17596 33672
7962 23129
21957 17615
10001 23925
16302 28029
23275 22039
13374 27563
2281 31779
11790 31741
21408 15207
844 22875
32816 17049
1848 2445
28914 26541
9227 14371
667 15616
19032 30878
32493 30083
27819 3631
21437 9463
16974 9609
25407 26082
19738 11189
5789 12092
17162 27331
13543 11785
16426 18711
32644 514
8559 20119
27990 16754
28033 22672
15532 33418
26083 16512
7825 15905
16660 29076
32225 17452
20077 30590
9292 12982
31258 22578
31539 28252
32262 25613
32304 24168
12750 28467
4066 32887
24088 28004
277 28025
24189 2714
15696 5589
14273 13553
30200 14214
1364 29331
4898 20518
320 6159
2470 9430
27106 12309
3647 31959
6726 3489
14 21864
31564 20738
5775 11212
3159 32950
24147 13143
4643 12068
4092 33093
10182 22725
4839 32663
18751 21823
29732 19643
1755 4592
26497 24150
22087 12995
10420 3745
16800 19266
31719 1198
24502 8617
22158 7045
16527 21219
27428 11279
16520 29971
21955 1118
18837 11472
13891 21303
7482 2062
23753 20221
6962 8021
26129 10203
33068 12560
28983 12590
16806 6693
21726 25565
25202 13516
12067 33478
7621 32541
30268 12950
13966 33098
3338 33236
2148 11270
15614 11082
16552 7585
3784 20273
28601 22466
33434 14584
22166 27312
1499 3906
6814 8940
9015 17577
6339 18526
8644 10738
19997 7642
7135 32367
9483 30735
20613 714
8309 29916
12638 20197
13613 32127
32739 24363
26579 5308
19840 11778
18151 33670
18341 4864
17130 9661
8614 21015
28333 21364
9906 15135
4027 18221
1777 1934
25219 31524
1831 4086
21901 8741
12741 23051
28941 15802
7134 31071
32421 6949
7463 21548
10613 31686
21224 30078
4510 19754
19487 21242
15093 13441
22868 8911
31459 25946
2374 19320
23208 32557
28372 26106
23311 31748
31417 28464
20525 5751
11502 12177
7363 22403
23667 13147
3508 1222
16697 14990
2144 28153
27686 30503
24494 4762
29819 32631
25800 10133
722 3616
23824 3455
31857 23084
21089 2143
3660 25209
1744 24330
32951 21157
1 32713
28664 20242
30294 19320
4411 33142
20994 28669
6367 33553
15884 29171
19918 23660
7631 13139
21130 15131
28574 23726
32290 27486
26677 27017
23780 31738
31690 19526
9692 25518
3203 33819
21291 28021
12817 22129
26115 11384
30329 8266
18126 13469
24100 24496
26111 30096
25740 9975
3456 4028
14407 31470
13466 28213
2544 2487
13843 28869
25616 28336
31362 19618
23740 11741
5710 17721
4472 20
22708 29913
29145 15525
17383 31678
29912 33508
27954 31048
835 31044
14233 18135
4365 21714
33614 28022
33414 28283
1791 20097
29909 123
32956 16612
11073 17315
15926 30977
527 27014
25203 28829
7478 31104
32606 9576
28398 8244
828 15896
27431 7104
1801 4545
30102 30687
12353 18739
5466 8091
32187 33199
16717 17180
14559 19479
23206 31490
29239 31841
20619 9403
13156 1640
28483 5233
19176 26128
31274 2211
10688 708
24557 22638
15525 3309
20037 11480
19832 12337
13586 31097
25930 21589
7100 19975
22094 22352
9102 27580
15622 12382
10639 25862
33946 7886
14773 8251
8919 20233
206 19718
3107 27055
5449 24515
26911 7056
2079 5650
18422 24259
28464 7291
10962 27207
24423 21487
2814 4691
17007 3735
27205 12652
22783 27932
8825 27635
15280 28530
18976 9080
5392 15553
12777 14351
31007 16705
20924 27997
3639 11393
10576 10143
20217 15508
20742 19847
1809 16458
14050 4933
15195 13414
9706 19422
24767 10225
33686 27931
21544 9802
3703 32432
9571 17671
32373 32455
9891 25469
33793 1320
23617 31881
31145 21736
16800 2633
8090 12748
21119 24553
25519 16984
11815 14909
14183 32456
20740 7352
20613 26409
6305 1751
27665 29381
12844 11534
25292 10618
12616 27292
14416 31974
11809 33357
22550 11137
31291 1660
10321 9431
5171 8099
1832 9377
20567 15697
19089 33438
26049 21638
29433 2979
7278 1422
5664 29148
26925 20503
1153 16013
29811 10241
5807 1371
8508 10338
15242 23312
16316 16099
33857 33390
23139 26186
10914 5731
4766 1828
25837 10789
12778 20143
31942 31963
30292 10353
28217 31288
12316 30601
16472 13173
1416 13248
29296 18297
14469 19851
30666 7975
2536 10176
28845 12917
15186 15235
29568 15876
2194 16044
7709 28193
5492 8118
30722 33959
31143 19606
30769 1006
18445 4262
103 23012
27931 12573
6665 25286
1312 20445
17978 5516
2851 32665
30777 5598
23685 14993
18007 13575
901 26443
1351 13605
26914 11888
33790 29801
23275 6976
13882 10113
29426 24690
18431 14543
7664 32909
16332 21302
31346 20700
8093 15233
12896 13233
27769 17008
8622 11337
2123 22207
23820 30247
17598 29381
3592 1696
28689 19302
21123 12803
938 12501
32561 851
30406 22506
10138 9650
14991 22476
3229 32971
29959 9259
4693 8524
23777 2364
33587 10399
17183 4466
32794 2803
16773 14773
12666 30444
7212 22098
2229 29027
17507 32671
20333 7067
80 21113
21742 30642
14133 7868
1896 5823
25453 17502
3732 18766
17237 11912
16647 1958
29863 24946
32229 27460
9794 19658
17213 20629
23110 5153
11475 9557
26475 2546
1499 33023
32865 19120
33776 18031
3665 20923
32180 13340
17203 13214
16770 25756
5177 28568
16751 13107
27240 17812
25231 27628
33975 17688
1044 29538
14192 6839
30929 15515
1540 2163
9085 19186
4603 22659
27907 33119
537 27596
1543 10533
31516 991
4930 14425
24513 2575
31726 2474
7398 16653
33837 16048
31354 15394
83 26629
16705 26376
31333 747
5172 22757
15017 20761
6469 25045
26973 15798
14448 32643
19203 5984
17868 11988
8922 1672
24465 30545
11096 24830
5124 18351
15843 17445
14766 28348
8495 13171
3051 16567
12017 32680
25885 21149
12115 6472
29969 10460
28480 30742
2105 29301
2479 9166
32569 627
31932 543
4509 16579
2609 22148
14631 3615
14789 19070
33975 3162
5147 33136
594 12234
18939 22966
14325 1933
2717 9634
1427 32842
22753 11604
25738 9110
16716 26070
1796 27567
17677 25665
31689 23160
3118 1744
14898 13761
32422 31583
22024 9490
14715 30575
3355 26532
29380 5129
18671 7788
32461 5948
27872 21957
10948 1381
1334 3608
29488 18794
20819 8299
17553 19331
28634 5796
11170 10869
14266 24856
17611 11948
33879 13973
12531 26021
9482 14040
9123 18933
28606 25467
10310 2521
1804 29023
24540 27708
20545 6530
24382 5790
32714 20476
1292 27431
3762 33900
32065 7688
32242 9066
33976 18889
20695 25737
72 12549
31266 15723
16395 17055
10040 27808
29980 19487
29370 25389
23391 22220
5023 15621
24810 24088
10652 22023
7889 611
3958 26819
26864 19868
17391 2410
5489 11659
10620 18641
30781 21092
7639 30193
16063 24937
8608 29295
20452 20032
8366 18083
9391 20843
16660 7799
5545 18506
3950 29646
16757 23993
18730 23886
13266 33687
33252 24779
18921 31605
20042 1314
18294 26246
9918 23199
32836 21545
26282 10219
20097 24320
19997 981
32465 19437
16964 15100
25790 20152
18260 358
33724 2591
5187 14192
32331 10395
26102 20147
261 2698
25845 14191
24296 6622
19211 22711
14238 19538
29242 23944
32135 16996
30811 4151
14728 23076
5746 26902
16573 4263
26464 22691
18554 18344
15203 32974
14831 32380
10520 19364
31610 27440
3521 17964
8070 11570
31537 31534
22944 7864
5907 13339
32299 4112
19691 7757
10538 23158
16484 21899
27674 12971
3017 1865
26850 6376
943 21258
23443 16959
7263 1523
11705 23738
31810 18702
26740 17619
21317 26439
32304 20719
20699 18439
5343 28584
7730 17546
12697 31205
10397 11039
26874 30472
6737 24060
23946 10996
92 15995
25162 12072
15295 31669
10697 32685
24860 31545
8854 4952
13402 21080
7104 19756
6901 25745
26249 24943
8211 4436
29610 31319
6258 25973
8032 11009
14588 527
14708 18206
8620 20275
6024 21019
12715 10236
12652 27659
22083 4479
22305 17939
13941 27060
15285 529
16085 28635
25677 15802
24659 16254
14129 28383
16101 30257
16304 14427
27679 11032
20853 8204
9973 5094
28177 635
6551 32861
2200 5162
28347 12118
28296 4169
25433 1134
17491 33492
27919 21180
13165 30909
8053 1947
5921 29153
22779 24632
671 32778
25182 32794
4768 7553
22137 9320
22778 20269
28744 22843
31614 5196
22232 26834
3295 30381
7915 24588
32621 28408
21255 18358
18127 33435
32574 12416
12960 26753
20712 21294
26064 1681
20940 744
18971 1585
24542 16030
1238 6084
16514 2924
24629 9511
20494 7670
17978 19588
26334 3776
15225 12241
24177 4621
27751 24633
16993 26978
4992 5812
16240 32133
15991 4021
15774 823
2056 16480
33318 9756
21129 1334
26232 13251
22912 12446
14242 33430
33566 20866
23815 29680
11481 27539
26513 6741
1527 20186
5059 29171
5430 33244
27303 9139
20632 11929
14343 21772
3820 3218
22855 4452
26904 16548
16959 18531
17634 33509
28854 5079
206 33866
18649 15566
3138 25107
31660 21011
28805 15635
5767 29368
8517 15439
33538 7356
29672 755
29595 30649
27467 32267
25124 24492
3974 1941
16186 9506
880 225
27135 19484
31582 16817
19529 23071
631 18115
14980 7307
23556 12328
23682 25669
5027 6976
32755 18354
4138 28612
15775 8867
9688 27792
6368 21912
16791 17131
9613 1714
15198 932
28097 25306
26979 31371
20379 17095
28158 21913
10942 9503
9224 9020
28200 13598
27122 25859
13375 11564
2498 3331
3127 11006
30296 11540
5201 13627
26400 18139
15118 697
24176 19156
20273 9635
16032 22811
32738 22410
8281 7160
20462 26182
28550 4373
5340 31494
20103 31580
18539 10459
15765 17330
342 10014
22912 3419
32890 9721
24339 21352
20878 9209
24217 27812
18065 15838
32713 23350
4322 4972
9901 8067
31816 23313
15841 14724
22002 16243
25078 11584
5337 17317
27334 15190
16465 26614
6497 32473
25998 10999
3910 29943
25460 16039
16398 27208
29334 11677
8115 10080
3488 14816
1534 5969
26705 7830
33501 29248
8399 20456
18051 12785
9374 1774
1001 4802
25132 6508
8178 19122
13795 15848
10253 2780
24754 22247
25171 14660
613 31108
13520 16476
7760 28844
22175 6579
22699 18952
23950 24027
4135 11640
30993 23269
6575 297
20658 18859
29433 20835
20326 10394
31084 4481
17674 22731
27356 14541
20332 4956
32848 29895
26518 29039
26261 26242
32534 19406
13083 30620
27337 11386
11277 8472
2389 8559
8190 2874
8518 12981
14895 29726
13744 9366
27565 29429
12147 26407
27383 429
22765 7252
16541 20411
33161 26301
1268 1800
27157 21335
11078 24390
12513 16272
22 22813
26003 11251
18001 27798
17720 14532
32480 3122
4421 22056
8730 16472
27867 10356
5254 5211
10985 32593
13406 11684
11995 16617
14720 17504
22209 7521
1566 31320
22634 19890
21701 2953
3823 21573
28362 3424
29948 33019
5232 12676
10969 23366
22119 11359
4407 21992
16862 4394
5941 14678
13321 5797
6962 4216
20685 31680
32605 16352
